"","participant","context","cue","response","sq1","sq2","sq3","sq4","sq5","sq6","sq7","sq8","sq_resp","condition","trial_type","type_dur","cue_rt","square_rt","accuracy","correct","square_rt_mili","cue_rt_mili","type_dur_mili","strength_strat","type","counterbalance","block","trialNum","resp_iscue","prop_is_cue","Lg10WF","Lg10CD","aoa","sum_na","nchar","z_cue_rt_mili","z_type_dur_mili","nchar_lg10","wf_z","aoa_z","wl_z","cd_z"
"595","11","short","acronym","roygbiv","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",4.79132652282715,2.62494230270386,2.51076531410217,0.96875,TRUE,2510.76531410217,2624.94230270386,4791.32652282715,"low","nonco","2","1",12,FALSE,0,NA,NA,NA,NA,7,-0.02756315171972,0.697880202581308,0.845098040014257,NA,NA,0.884673512594598,NA
"596","11","short","barracuda","shark","1",1,1,1,1,1,1,1,"match","no_load","match",2.50661063194275,2.06125378608704,3.05224251747131,0.96875,TRUE,3052.24251747131,2061.25378608704,2506.61063194275,"high","co","2","1",14,FALSE,0,2.8837,2.4133,5.47,0,5,-0.478045836645811,-0.493764486862235,0.698970004336019,-0.566139137405524,-0.0457689604517662,-0.214660687179126,-0.911060462661724
"597","11","short","inspection","health","1",1,1,1,1,1,1,1,"match","no_load","match",2.30964350700378,1.48942005634308,3.29585409164429,0.96875,TRUE,3295.85409164429,1489.42005634308,2309.64350700378,"low","co","2","1",15,FALSE,0,3.3128,3.1278,7.56,0,6,-0.935037927690072,-0.596497097671723,0.778151250383644,-0.0738164410567403,0.891518807457698,0.335006412707736,0.114321139401774
"598","11","short","collected","grabbed","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",3.11923551559448,2.26701545715332,1.04988348484039,0.96875,TRUE,1049.88348484039,2267.01545715332,3119.23551559448,"low","co","2","1",16,FALSE,0,2.8331,2.7559,5.37,0,7,-0.313607379405022,-0.174236272375152,0.845098040014257,-0.624194435553388,-0.0906152651364294,0.884673512594598,-0.419393931007484
"599","11","short","crusader","medeival","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",6.56577920913696,3.79060435295105,1.04653644561768,0.96875,TRUE,1046.53644561768,3790.60435295105,6565.77920913696,"low","nonco","2","1",17,FALSE,0,NA,NA,NA,NA,8,0.903998437051764,1.62338570142537,0.903089986991944,NA,NA,1.43434061248146,NA
"600","11","short","pony","little","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",2.99388909339905,3.83566546440125,0.78513377904892,0.96875,TRUE,785.13377904892,3835.66546440125,2993.88909339905,"high","co","2","1",18,FALSE,0,4.8679,3.907,3.95,0,6,0.940009904153615,-0.239613503279831,0.778151250383644,1.71040873976823,-0.727432791658649,0.335006412707736,1.23255395161714
"601","11","short","plaything","legos","1",1,1,1,1,1,1,1,"match","no_load","match",3.73996472358704,4.87978219985962,2.42917442321777,0.96875,TRUE,2429.17442321777,4879.78219985962,3739.96472358704,"high","co","2","1",19,FALSE,0,NA,NA,NA,3,5,1.77443618125531,0.149518933792077,0.698970004336019,NA,NA,-0.214660687179126,NA
"602","11","short","circulation","ventilation","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",6.11071252822876,1.89921402931213,1.02561783790588,0.96875,TRUE,1025.61783790588,1899.21402931213,6110.71252822876,"high","co","2","1",20,FALSE,0,2.0453,1.9138,10.39,0,11,-0.607543072344067,1.38603549267051,1.04139268515823,-1.52806723952349,2.16066923003367,3.08334191214205,-1.62789476669352
"603","11","short","teller","fortune","1",1,1,1,1,1,1,1,"match","no_load","match",4.24987316131592,4.71132659912109,1.48046159744263,0.96875,TRUE,1480.46159744263,4711.32659912109,4249.87316131592,"high","co","2","1",21,FALSE,0,3.1816,3.0199,9.05,0,7,1.63981159857446,0.41547308780589,0.845098040014257,-0.224347174594285,1.55972874725918,0.884673512594598,-0.0405265510987883
"604","11","short","algorithm","tiktok","1",1,1,1,1,1,1,1,"mismatch","no_load","match",3.07170057296753,1.48320710659027,1.93136727809906,0.96875,FALSE,1931.36727809906,1483.20710659027,3071.70057296753,"high","nonco","2","1",22,FALSE,0,NA,NA,NA,3,6,-0.940003127802279,-0.199029185214081,0.778151250383644,NA,NA,0.335006412707736,NA
"605","11","short","salmon","honey","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",2.49897050857544,1.23762547969818,1.43000745773315,0.96875,TRUE,1430.00745773315,1237.62547969818,2498.97050857544,"high","co","2","1",24,FALSE,0,4.1854,3.6218,5.44,0,5,-1.13626448028619,-0.497749364138956,0.698970004336019,0.927350617516898,-0.059222851857165,-0.214660687179126,0.823262373018804
"606","11","short","confound","lots","1",1,1,1,1,1,1,1,"match","no_load","match",7.28497219085693,5.92238521575928,1.57494592666626,0.96875,TRUE,1574.94592666626,5922.38521575928,7284.97219085693,"high","nonco","2","1",26,FALSE,0,3.487,3.3134,NA,1,4,2.607652739814,1.99849689173618,0.602059991327962,0.126049822527408,NA,-0.764327787065989,0.380676388307282
